column,method,before_mean,before_std,after_mean,after_std,reason,before_min,before_max,after_min,after_max
Close,StandardScaler,115.95879143378056,139.97310211319387,5.214992556037433e-17,1.0,"Normal distribution, low outliers",,,,
High,StandardScaler,117.34016648855275,141.7068070400113,5.214992556037433e-17,1.0,"Normal distribution, low outliers",,,,
Low,StandardScaler,114.51932585492102,138.19182048517118,1.5644977668112299e-16,0.9999999999999999,"Normal distribution, low outliers",,,,
Open,StandardScaler,115.93472615804367,140.02395173332013,-1.0429985112074866e-16,0.9999999999999999,"Normal distribution, low outliers",,,,
Volume,StandardScaler,79876617.95366973,121536122.31476592,0.0,1.0,"Normal distribution, low outliers",,,,
sp500_Close,StandardScaler,2760.0127275169443,1462.429718068217,-1.0429985112074866e-16,1.0,"Normal distribution, low outliers",,,,
sp500_High,StandardScaler,2774.3242009994087,1469.3272962587303,-5.214992556037433e-17,1.0,"Normal distribution, low outliers",,,,
sp500_Low,StandardScaler,2743.510134537723,1454.3663977199142,1.0429985112074866e-16,1.0,"Normal distribution, low outliers",,,,
sp500_Open,StandardScaler,2759.4498714552014,1462.1954628653632,-5.214992556037433e-17,1.0,"Normal distribution, low outliers",,,,
sp500_Volume,StandardScaler,3903259662.8440366,1157028075.9741447,1.1733733251084224e-16,1.0,"Normal distribution, low outliers",,,,
CPI,StandardScaler,252.02429873853208,34.88210518694775,7.300989578452406e-16,0.9999999999999998,"Normal distribution, low outliers",,,,
Fed_Funds_Rate,StandardScaler,1.7203864678899083,1.923367505690357,-9.126236973065507e-17,1.0,"Normal distribution, low outliers",,,,
GDP,StandardScaler,20374.604360321104,5056.309293503814,-6.257991067244919e-16,1.0,"Normal distribution, low outliers",,,,
Unemployment_Rate,StandardScaler,5.503061926605504,2.0129950640639493,2.346746650216845e-16,1.0,"Normal distribution, low outliers",,,,
VIX,StandardScaler,18.529623857878764,7.959112491914853,-9.126236973065507e-17,1.0,"Normal distribution, low outliers",,,,
Market_Breadth,StandardScaler,12047.065639166876,3768.362995049274,-1.0429985112074866e-16,1.0,"Normal distribution, low outliers",,,,
sector_XLK,StandardScaler,78.89600982644143,68.86687570629795,-1.0429985112074866e-16,0.9999999999999998,"Normal distribution, low outliers",,,,
sector_XLF,StandardScaler,22.726383904388193,11.341152546312163,-1.0429985112074866e-16,1.0,"Normal distribution, low outliers",,,,
sector_XLV,StandardScaler,73.25067413706299,41.0294668114246,-1.0429985112074866e-16,1.0,"Normal distribution, low outliers",,,,
sector_XLE,StandardScaler,51.25984074872568,17.832599129240652,1.0429985112074866e-16,1.0,"Normal distribution, low outliers",,,,
sector_XLI,StandardScaler,61.58062740433107,34.865692549321835,0.0,1.0000000000000002,"Normal distribution, low outliers",,,,
spy_SMA_50,StandardScaler,246.09028330275228,150.9893839321445,5.214992556037433e-17,1.0,"Normal distribution, low outliers",,,,
spy_SMA_200,StandardScaler,237.0721992316514,143.6064002553268,-2.6074962780187164e-16,1.0,"Normal distribution, low outliers",,,,
qqq_SMA_50,StandardScaler,178.88589181192663,146.06841631342002,-2.0859970224149731e-16,0.9999999999999999,"Normal distribution, low outliers",,,,
qqq_SMA_200,StandardScaler,170.26047400229356,138.07790072735855,0.0,0.9999999999999998,"Normal distribution, low outliers",,,,
Put_Call_Ratio,MinMaxScaler,,,,,Ratios are naturally bounded,9.140000343322754,82.69000244140625,0.0,1.0
spy_RSI,No scaling,,,,,RSI is already bounded (0-100),,,,
qqq_RSI,No scaling,,,,,RSI is already bounded (0-100),,,,
