,SMA
2000-01-11,67.3761
2000-01-12,67.7258
2000-01-13,68.1627
2000-01-14,68.6141
2000-01-18,69.0612
2000-01-19,69.5320
2000-01-20,69.9638
2000-01-21,70.4236
2000-01-24,70.7902
2000-01-25,71.1586
2000-01-26,71.4473
2000-01-27,71.7606
2000-01-28,71.9655
2000-01-31,72.2500
2000-02-01,72.5379
2000-02-02,72.8275
2000-02-03,73.1976
2000-02-04,73.5735
2000-02-07,73.9300
2000-02-08,74.3525
2000-02-09,74.7353
2000-02-10,75.2137
2000-02-11,75.6337
2000-02-14,76.0105
2000-02-15,76.3712
2000-02-16,76.7125
2000-02-17,77.0901
2000-02-18,77.4212
2000-02-22,77.7514
2000-02-23,78.1638
2000-02-24,78.5956
2000-02-25,79.0106
2000-02-28,79.3992
2000-02-29,79.8006
2000-03-01,80.2048
2000-03-02,80.5478
2000-03-03,80.9136
2000-03-06,81.2997
2000-03-07,81.6392
2000-03-08,82.0042
2000-03-09,82.4419
2000-03-10,82.8145
2000-03-13,83.1532
2000-03-14,83.4242
2000-03-15,83.5622
2000-03-16,83.9094
2000-03-17,84.2904
2000-03-20,84.7578
2000-03-21,85.1270
2000-03-22,85.4911
2000-03-23,85.9585
2000-03-24,86.4922
2000-03-27,86.9418
2000-03-28,87.3042
2000-03-29,87.5769
2000-03-30,87.7682
2000-03-31,88.0129
2000-04-03,88.1256
2000-04-04,88.2991
2000-04-05,88.4194
2000-04-06,88.6438
2000-04-07,88.9156
2000-04-10,89.1442
2000-04-11,89.2805
2000-04-12,89.2788
2000-04-13,89.1959
2000-04-14,88.9229
2000-04-17,88.7955
2000-04-18,88.6854
2000-04-19,88.4553
2000-04-20,88.2563
2000-04-24,87.9599
2000-04-25,87.8002
2000-04-26,87.5907
2000-04-27,87.4349
2000-04-28,87.3460
2000-05-01,87.2356
2000-05-02,87.0947
2000-05-03,86.9318
2000-05-04,86.6788
2000-05-05,86.4237
2000-05-08,86.1499
2000-05-09,85.8451
2000-05-10,85.3878
2000-05-11,84.9980
2000-05-12,84.6505
2000-05-15,84.2654
2000-05-16,83.9073
2000-05-17,83.5465
2000-05-18,83.1146
2000-05-19,82.5505
2000-05-22,81.9938
2000-05-23,81.3725
2000-05-24,80.9000
2000-05-25,80.4741
2000-05-26,79.9491
2000-05-30,79.5217
2000-05-31,79.1118
2000-06-01,78.6983
2000-06-02,78.3533
2000-06-05,77.9784
2000-06-06,77.5328
2000-06-07,77.1245
2000-06-08,76.7595
2000-06-09,76.4843
2000-06-12,76.2041
2000-06-13,75.9458
2000-06-14,75.7634
2000-06-15,75.6254
2000-06-16,75.5263
2000-06-19,75.4501
2000-06-20,75.2982
2000-06-21,75.2877
2000-06-22,75.2454
2000-06-23,75.2369
2000-06-26,75.3385
2000-06-27,75.5502
2000-06-28,75.6242
2000-06-29,75.6181
2000-06-30,75.6923
2000-07-03,75.8278
2000-07-05,75.9431
2000-07-06,76.0029
2000-07-07,76.1478
2000-07-10,76.2025
2000-07-11,76.2068
2000-07-12,76.2342
2000-07-13,76.3760
2000-07-14,76.5702
2000-07-17,76.7817
2000-07-18,76.9182
2000-07-19,77.0769
2000-07-20,77.3208
2000-07-21,77.6129
2000-07-24,77.7885
2000-07-25,77.9768
2000-07-26,78.1008
2000-07-27,78.1189
2000-07-28,78.0840
2000-07-31,78.1465
2000-08-01,78.2576
2000-08-02,78.3433
2000-08-03,78.6080
2000-08-04,78.7880
2000-08-07,79.0336
2000-08-08,79.3110
2000-08-09,79.4138
2000-08-10,79.5206
2000-08-11,79.5830
2000-08-14,79.5723
2000-08-15,79.5577
2000-08-16,79.6033
2000-08-17,79.6382
2000-08-18,79.6720
2000-08-21,79.7017
2000-08-22,79.7821
2000-08-23,79.8297
2000-08-24,79.9386
2000-08-25,80.0111
2000-08-28,80.0831
2000-08-29,80.1000
2000-08-30,80.1212
2000-08-31,80.1740
2000-09-01,80.2985
2000-09-05,80.4339
2000-09-06,80.4678
2000-09-07,80.5567
2000-09-08,80.5759
2000-09-11,80.5957
2000-09-12,80.5608
2000-09-13,80.5312
2000-09-14,80.5555
2000-09-15,80.5090
2000-09-18,80.4063
2000-09-19,80.3845
2000-09-20,80.3782
2000-09-21,80.2173
2000-09-22,80.1232
2000-09-25,79.9516
2000-09-26,79.7423
2000-09-27,79.5740
2000-09-28,79.4776
2000-09-29,79.2803
2000-10-02,79.1067
2000-10-03,78.9205
2000-10-04,78.7491
2000-10-05,78.5840
2000-10-06,78.4336
2000-10-09,78.3616
2000-10-10,78.1731
2000-10-11,77.9836
2000-10-12,77.7878
2000-10-13,77.6322
2000-10-16,77.4945
2000-10-17,77.2574
2000-10-18,76.9843
2000-10-19,76.8730
2000-10-20,76.8137
2000-10-23,76.7313
2000-10-24,76.5534
2000-10-25,76.2974
2000-10-26,76.0593
2000-10-27,75.7878
2000-10-30,75.4748
2000-10-31,75.2411
2000-11-01,74.9956
2000-11-02,74.7405
2000-11-03,74.4780
2000-11-06,74.2140
2000-11-07,73.9368
2000-11-08,73.5422
2000-11-09,73.1495
