,RSI
1999-11-19,79.5996
1999-11-22,79.3713
1999-11-23,70.6558
1999-11-24,72.5999
1999-11-26,69.1077
1999-11-29,65.8946
1999-11-30,56.5202
1999-12-01,60.6184
1999-12-02,63.4045
1999-12-03,70.3486
1999-12-06,64.9145
1999-12-07,59.5261
1999-12-08,55.6281
1999-12-09,57.8813
1999-12-10,59.3954
1999-12-13,60.2167
1999-12-14,53.7740
1999-12-15,56.5075
1999-12-16,58.6992
1999-12-17,61.7238
1999-12-20,56.6485
1999-12-21,63.4210
1999-12-22,64.4608
1999-12-23,70.0723
1999-12-27,69.0343
1999-12-28,68.5299
1999-12-29,70.0992
1999-12-30,69.0788
1999-12-31,69.7259
2000-01-03,61.2595
2000-01-04,40.3720
2000-01-05,41.3191
2000-01-06,35.8066
2000-01-07,57.5117
2000-01-10,58.4572
2000-01-11,53.9336
2000-01-12,50.4782
2000-01-13,54.6917
2000-01-14,58.5507
2000-01-18,55.5578
2000-01-19,57.9360
2000-01-20,52.2327
2000-01-21,51.4748
2000-01-24,42.7279
2000-01-25,46.5368
2000-01-26,44.2974
2000-01-27,43.1785
2000-01-28,35.6388
2000-01-31,44.4443
2000-02-01,47.3376
2000-02-02,47.6047
2000-02-03,52.0572
2000-02-04,50.7591
2000-02-07,50.2620
2000-02-08,54.5121
2000-02-09,47.6516
2000-02-10,48.3018
2000-02-11,42.4924
2000-02-14,44.5231
2000-02-15,48.3389
2000-02-16,44.0429
2000-02-17,42.6316
2000-02-18,37.3135
2000-02-22,36.7419
2000-02-23,41.2362
2000-02-24,36.4272
2000-02-25,35.6387
2000-02-28,43.2732
2000-02-29,46.4815
2000-03-01,48.8549
2000-03-02,49.0827
2000-03-03,55.0522
2000-03-06,51.5987
2000-03-07,45.5491
2000-03-08,45.1865
2000-03-09,54.3070
2000-03-10,52.5417
2000-03-13,49.0368
2000-03-14,44.8908
2000-03-15,51.9713
2000-03-16,62.5802
2000-03-17,63.8502
2000-03-20,62.0815
2000-03-21,66.1239
2000-03-22,67.2593
2000-03-23,70.2916
2000-03-24,71.3039
2000-03-27,66.9021
2000-03-28,64.5900
2000-03-29,64.8237
2000-03-30,58.1282
2000-03-31,61.0189
2000-04-03,62.4659
2000-04-04,59.4123
