,SMA
2000-08-15,90.8384
2000-08-16,90.8830
2000-08-17,90.9356
2000-08-18,90.9837
2000-08-21,91.0312
2000-08-22,91.0736
2000-08-23,91.1176
2000-08-24,91.1671
2000-08-25,91.2132
2000-08-28,91.2585
2000-08-29,91.2999
2000-08-30,91.3357
2000-08-31,91.3742
2000-09-01,91.4120
2000-09-05,91.4427
2000-09-06,91.4684
2000-09-07,91.4983
2000-09-08,91.5288
2000-09-11,91.5563
2000-09-12,91.5820
2000-09-13,91.6105
2000-09-14,91.6465
2000-09-15,91.6687
2000-09-18,91.6840
2000-09-19,91.6952
2000-09-20,91.7064
2000-09-21,91.7142
2000-09-22,91.7332
2000-09-25,91.7466
2000-09-26,91.7528
2000-09-27,91.7605
2000-09-28,91.7784
2000-09-29,91.7896
2000-10-02,91.7995
2000-10-03,91.8023
2000-10-04,91.8121
2000-10-05,91.8167
2000-10-06,91.8102
2000-10-09,91.7930
2000-10-10,91.7691
2000-10-11,91.7419
2000-10-12,91.7018
2000-10-13,91.6764
2000-10-16,91.6523
2000-10-17,91.6217
2000-10-18,91.6075
2000-10-19,91.6087
2000-10-20,91.6188
2000-10-23,91.6056
2000-10-24,91.5879
2000-10-25,91.5653
2000-10-26,91.5484
2000-10-27,91.5336
2000-10-30,91.5166
2000-10-31,91.5110
2000-11-01,91.5001
2000-11-02,91.4970
2000-11-03,91.4951
2000-11-06,91.5094
2000-11-07,91.5185
2000-11-08,91.5210
2000-11-09,91.5236
2000-11-10,91.5292
2000-11-13,91.5198
2000-11-14,91.5174
2000-11-15,91.5160
2000-11-16,91.5009
2000-11-17,91.4853
2000-11-20,91.4642
2000-11-21,91.4392
2000-11-22,91.4135
2000-11-24,91.3955
2000-11-27,91.3903
2000-11-28,91.3751
2000-11-29,91.3541
2000-11-30,91.3361
2000-12-01,91.3200
2000-12-04,91.3170
2000-12-05,91.3289
2000-12-06,91.3288
2000-12-07,91.3315
2000-12-08,91.3367
2000-12-11,91.3478
2000-12-12,91.3530
2000-12-13,91.3489
2000-12-14,91.3391
2000-12-15,91.3115
2000-12-18,91.2937
2000-12-19,91.2759
2000-12-20,91.2466
2000-12-21,91.2075
2000-12-22,91.1829
2000-12-26,91.1676
2000-12-27,91.1616
2000-12-28,91.1469
2000-12-29,91.1035
2001-01-02,91.0494
2001-01-03,91.0175
2001-01-04,90.9714
2001-01-05,90.9086
2001-01-08,90.8408
2001-01-09,90.7691
2001-01-10,90.7098
2001-01-11,90.6536
2001-01-12,90.5962
2001-01-16,90.5495
2001-01-17,90.4994
2001-01-18,90.4507
2001-01-19,90.4032
2001-01-22,90.3614
2001-01-23,90.3190
2001-01-24,90.2748
2001-01-25,90.2315
2001-01-26,90.1890
2001-01-29,90.1618
2001-01-30,90.1450
2001-01-31,90.1517
2001-02-01,90.1463
2001-02-02,90.1192
2001-02-05,90.0995
2001-02-06,90.0763
2001-02-07,90.0558
2001-02-08,90.0116
2001-02-09,89.9687
2001-02-12,89.9321
2001-02-13,89.8949
2001-02-14,89.8508
2001-02-15,89.8201
2001-02-16,89.7907
2001-02-20,89.7515
2001-02-21,89.6980
2001-02-22,89.6486
2001-02-23,89.6001
2001-02-26,89.5701
2001-02-27,89.5264
2001-02-28,89.4699
2001-03-01,89.4076
2001-03-02,89.3378
2001-03-05,89.2764
2001-03-06,89.2249
2001-03-07,89.1834
2001-03-08,89.1457
2001-03-09,89.1025
2001-03-12,89.0354
2001-03-13,88.9821
2001-03-14,88.9207
2001-03-15,88.8452
2001-03-16,88.7611
2001-03-19,88.6767
2001-03-20,88.5742
2001-03-21,88.4677
2001-03-22,88.3597
2001-03-23,88.2592
2001-03-26,88.1652
2001-03-27,88.0797
2001-03-28,87.9893
2001-03-29,87.8916
2001-03-30,87.7971
2001-04-02,87.6935
2001-04-03,87.5817
2001-04-04,87.4653
2001-04-05,87.3641
2001-04-06,87.2575
2001-04-09,87.1620
2001-04-10,87.0772
2001-04-11,86.9868
2001-04-12,86.9065
2001-04-16,86.8210
2001-04-17,86.7451
2001-04-18,86.6810
2001-04-19,86.6157
2001-04-20,86.5552
2001-04-23,86.4840
2001-04-24,86.4031
2001-04-25,86.3282
2001-04-26,86.2540
2001-04-27,86.1833
2001-04-30,86.1134
2001-05-01,86.0401
2001-05-02,85.9668
2001-05-03,85.8922
2001-05-04,85.8284
2001-05-07,85.7544
2001-05-08,85.6896
2001-05-09,85.6257
2001-05-10,85.5616
2001-05-11,85.4992
2001-05-14,85.4392
2001-05-15,85.3915
2001-05-16,85.3504
2001-05-17,85.3072
2001-05-18,85.2635
2001-05-21,85.2228
2001-05-22,85.1791
2001-05-23,85.1227
2001-05-24,85.0658
2001-05-25,85.0079
2001-05-29,84.9490
2001-05-30,84.8823
2001-05-31,84.8116
2001-06-01,84.7439
2001-06-04,84.6798
2001-06-05,84.6155
2001-06-06,84.5492
2001-06-07,84.4819
2001-06-08,84.4116
2001-06-11,84.3365
2001-06-12,84.2592
2001-06-13,84.1787
2001-06-14,84.0875
2001-06-15,83.9969
2001-06-18,83.9090
2001-06-19,83.8165
2001-06-20,83.7255
2001-06-21,83.6429
2001-06-22,83.5626
2001-06-25,83.4746
2001-06-26,83.3893
2001-06-27,83.3045
2001-06-28,83.2253
2001-06-29,83.1463
2001-07-02,83.0699
2001-07-03,83.0037
2001-07-05,82.9340
2001-07-06,82.8517
2001-07-09,82.7750
2001-07-10,82.7006
2001-07-11,82.6183
2001-07-12,82.5483
2001-07-13,82.4876
2001-07-16,82.4196
2001-07-17,82.3493
2001-07-18,82.2808
2001-07-19,82.2149
2001-07-20,82.1510
2001-07-23,82.0757
2001-07-24,81.9950
2001-07-25,81.9285
2001-07-26,81.8694
2001-07-27,81.8191
2001-07-30,81.7726
2001-07-31,81.7385
2001-08-01,81.6927
2001-08-02,81.6466
2001-08-03,81.6093
2001-08-06,81.5683
2001-08-07,81.5127
2001-08-08,81.4480
2001-08-09,81.3824
2001-08-10,81.3212
2001-08-13,81.2705
2001-08-14,81.2184
2001-08-15,81.1548
2001-08-16,81.0885
2001-08-17,81.0084
2001-08-20,80.9333
2001-08-21,80.8511
2001-08-22,80.7724
2001-08-23,80.6892
2001-08-24,80.6139
2001-08-27,80.5464
2001-08-28,80.4751
2001-08-29,80.4112
2001-08-30,80.3437
2001-08-31,80.2674
2001-09-04,80.1874
